model,doc_id,response_index,file_reference,file_candidate,extraction_method,filter_pdfops,bleu,rouge_l_f1,meteor,lr,ls,cer,wer,edit_distance_chars,edit_distance_tokens,ref_length_chars,hyp_length_chars,ref_length_tokens,hyp_length_tokens
llama3,2018-08_Poster-Ersteinschaetzung_UT-1,1,../../notebooks/refs/2018-08_Poster-Ersteinschaetzung_UT-1 bf.pdf,../../notebooks/model-test-results/llama3/2018-08_Poster-Ersteinschaetzung_UT-1.response.txt,rendered,True,0.002251291268910909,0.013468013468013467,0.009199632014719412,0.5738106915154487,0.21570397111913353,0.9334049409237379,1.9595959595959596,869,194,931,1108,99,196
llama3,2018-08_Poster-Ersteinschaetzung_UT-1,2,../../notebooks/refs/2018-08_Poster-Ersteinschaetzung_UT-1 bf.pdf,../../notebooks/model-test-results/llama3/2018-08_Poster-Ersteinschaetzung_UT-1.response-2.txt,rendered,True,0,0.0,0.0,0.5790803436078827,0.20515267175572516,0.8947368421052632,1.9292929292929293,833,191,931,1048,99,191
llama3,2018-08_Poster-Ersteinschaetzung_UT-1,3,../../notebooks/refs/2018-08_Poster-Ersteinschaetzung_UT-1 bf.pdf,../../notebooks/model-test-results/llama3/2018-08_Poster-Ersteinschaetzung_UT-1.response-3.txt,rendered,True,0.0022815473104960044,0.01360544217687075,0.013837638376383765,0.5784508440913605,0.21606648199445988,0.9119226638023631,1.9393939393939394,849,192,931,1083,99,193
llama3,2018-08_Poster-Ersteinschaetzung_UT-1,4,../../notebooks/refs/2018-08_Poster-Ersteinschaetzung_UT-1 bf.pdf,../../notebooks/model-test-results/llama3/2018-08_Poster-Ersteinschaetzung_UT-1.response-4.txt,rendered,True,0,0.0,0.0,0.08119218910585817,0.039742212674543476,0.9602577873254565,1.0,894,99,931,42,99,8
llama3,2018-08_Poster-Ersteinschaetzung_UT-1,5,../../notebooks/refs/2018-08_Poster-Ersteinschaetzung_UT-1 bf.pdf,../../notebooks/model-test-results/llama3/2018-08_Poster-Ersteinschaetzung_UT-1.response-5.txt,rendered,True,0,0.0,0.0045004500450045015,0.5470950704225352,0.23266219239373598,1.105263157894737,2.2222222222222223,1029,220,931,1341,99,220
llama3-1,2018-08_Poster-Ersteinschaetzung_UT-1,1,../../notebooks/refs/2018-08_Poster-Ersteinschaetzung_UT-1 bf.pdf,../../notebooks/model-test-results/llama3-1/2018-08_Poster-Ersteinschaetzung_UT-1.response.txt,rendered,True,0.01458195703559595,0.03802281368821293,0.0459639126305793,0.5768637532133676,0.18836291913214986,0.8839957035445757,1.5858585858585859,823,157,931,1014,99,162
llama3-1,2018-08_Poster-Ersteinschaetzung_UT-1,2,../../notebooks/refs/2018-08_Poster-Ersteinschaetzung_UT-1 bf.pdf,../../notebooks/model-test-results/llama3-1/2018-08_Poster-Ersteinschaetzung_UT-1.response-2.txt,rendered,True,0.021014821042471325,0.03846153846153846,0.04742857142857143,0.5847022587268994,0.2045231071779744,0.8689581095596133,1.5555555555555556,809,154,931,1017,99,159
llama3-1,2018-08_Poster-Ersteinschaetzung_UT-1,3,../../notebooks/refs/2018-08_Poster-Ersteinschaetzung_UT-1 bf.pdf,../../notebooks/model-test-results/llama3-1/2018-08_Poster-Ersteinschaetzung_UT-1.response-3.txt,rendered,True,0.00176738873212411,0.011111111111111112,0.013043478260869565,0.48587979724837077,0.22446750409612237,1.5252416756176155,2.595959595959596,1420,257,931,1831,99,259
llama3-1,2018-08_Poster-Ersteinschaetzung_UT-1,4,../../notebooks/refs/2018-08_Poster-Ersteinschaetzung_UT-1 bf.pdf,../../notebooks/model-test-results/llama3-1/2018-08_Poster-Ersteinschaetzung_UT-1.response-4.txt,rendered,True,0.0025459544861867597,0.014760147601476013,0.009425070688030161,0.5701839303000968,0.21762114537444932,0.9538131041890441,1.696969696969697,888,168,931,1135,99,170
llama3-1,2018-08_Poster-Ersteinschaetzung_UT-1,5,../../notebooks/refs/2018-08_Poster-Ersteinschaetzung_UT-1 bf.pdf,../../notebooks/model-test-results/llama3-1/2018-08_Poster-Ersteinschaetzung_UT-1.response-5.txt,rendered,True,0,0.0,0.0,0.5225165562913907,0.22556390977443608,0.7744360902255639,1.0,721,99,931,579,99,98
chatgpt-o3,2018-08_Poster-Ersteinschaetzung_UT-1,1,../../notebooks/refs/2018-08_Poster-Ersteinschaetzung_UT-1 bf.pdf,../../notebooks/model-test-results/chatgpt-o3/2018-08_Poster-Ersteinschaetzung_UT-1.response.txt,rendered,True,0.073007167413137,0.11196911196911197,0.4826070336391437,0.2675170679123248,0.12038834951456312,4.3791621911922665,3.9494949494949494,4077,391,931,4635,99,417
chatgpt-o3,2018-08_Poster-Ersteinschaetzung_UT-1,2,../../notebooks/refs/2018-08_Poster-Ersteinschaetzung_UT-1 bf.pdf,../../notebooks/model-test-results/chatgpt-o3/2018-08_Poster-Ersteinschaetzung_UT-1.response-2.txt,rendered,True,0.017417120221227437,0.1016042780748663,0.17978329164887455,0.32722832722832723,0.12926675094816686,2.9591836734693877,2.5757575757575757,2755,255,931,3164,99,273
chatgpt-o3,2018-08_Poster-Ersteinschaetzung_UT-1,3,../../notebooks/refs/2018-08_Poster-Ersteinschaetzung_UT-1 bf.pdf,../../notebooks/model-test-results/chatgpt-o3/2018-08_Poster-Ersteinschaetzung_UT-1.response-3.txt,rendered,True,0.0693929781316178,0.11090573012939002,0.4786044759856956,0.24424489795918367,0.1087793608009241,4.972073039742213,4.181818181818182,4629,414,931,5194,99,440
chatgpt-o3,2018-08_Poster-Ersteinschaetzung_UT-1,4,../../notebooks/refs/2018-08_Poster-Ersteinschaetzung_UT-1 bf.pdf,../../notebooks/model-test-results/chatgpt-o3/2018-08_Poster-Ersteinschaetzung_UT-1.response-4.txt,rendered,True,0.01527355896410709,0.09478672985781991,0.17973864231072484,0.27116955568838413,0.10518590998043054,3.929108485499463,3.04040404040404,3658,301,931,4088,99,320
chatgpt-o3,2018-08_Poster-Ersteinschaetzung_UT-1,5,../../notebooks/refs/2018-08_Poster-Ersteinschaetzung_UT-1 bf.pdf,../../notebooks/model-test-results/chatgpt-o3/2018-08_Poster-Ersteinschaetzung_UT-1.response-5.txt,rendered,True,0.026484534958647783,0.06086956521739131,0.088844413505047,0.3384216589861751,0.09602518693427786,2.4672395273899035,1.2727272727272727,2297,126,931,2541,99,129
deepseek-r1-8b,2018-08_Poster-Ersteinschaetzung_UT-1,1,../../notebooks/refs/2018-08_Poster-Ersteinschaetzung_UT-1 bf.pdf,../../notebooks/model-test-results/deepseek-r1-8b/2018-08_Poster-Ersteinschaetzung_UT-1.response.txt,rendered,True,0.009739618079038127,0.033898305084745756,0.04467754467754468,0.5246963562753036,0.2371669915529565,1.2610096670247046,2.505050505050505,1174,248,931,1539,99,253
deepseek-r1-8b,2018-08_Poster-Ersteinschaetzung_UT-1,2,../../notebooks/refs/2018-08_Poster-Ersteinschaetzung_UT-1 bf.pdf,../../notebooks/model-test-results/deepseek-r1-8b/2018-08_Poster-Ersteinschaetzung_UT-1.response-2.txt,rendered,True,0.0036445714475250527,0.017478152309612985,0.03598045126284329,0.30833168414803086,0.15211062590975255,3.7540279269602577,7.0,3495,693,931,4122,99,700
deepseek-r1-8b,2018-08_Poster-Ersteinschaetzung_UT-1,3,../../notebooks/refs/2018-08_Poster-Ersteinschaetzung_UT-1 bf.pdf,../../notebooks/model-test-results/deepseek-r1-8b/2018-08_Poster-Ersteinschaetzung_UT-1.response-3.txt,rendered,True,0.0002929564425481093,0.0034453057708871662,0.004859086491739553,0.13770934201127075,0.06890641069592052,11.669172932330827,22.151515151515152,10864,2193,931,11668,99,2196
gemini-2-5-pro,2018-08_Poster-Ersteinschaetzung_UT-1,1,../../notebooks/refs/2018-08_Poster-Ersteinschaetzung_UT-1 bf.pdf,../../notebooks/model-test-results/gemini-2-5-pro/2018-08_Poster-Ersteinschaetzung_UT-1.response.txt,rendered,True,0.0943525052238675,0.12267657992565056,0.5522945669558399,0.02585830348562942,0.009750639386189253,59.88721804511278,4.1313131313131315,55755,409,931,56304,99,437
gemini-2-5-pro,2018-08_Poster-Ersteinschaetzung_UT-1,2,../../notebooks/refs/2018-08_Poster-Ersteinschaetzung_UT-1 bf.pdf,../../notebooks/model-test-results/gemini-2-5-pro/2018-08_Poster-Ersteinschaetzung_UT-1.response-2.txt,rendered,True,0.06432516512028848,0.10398613518197573,0.4702107595236925,0.02631393670574154,0.010092514718250678,59.41890440386681,4.545454545454546,55319,450,931,55883,99,476
gemini-2-5-pro,2018-08_Poster-Ersteinschaetzung_UT-1,3,../../notebooks/refs/2018-08_Poster-Ersteinschaetzung_UT-1 bf.pdf,../../notebooks/model-test-results/gemini-2-5-pro/2018-08_Poster-Ersteinschaetzung_UT-1.response-3.txt,rendered,True,0.06019544298600198,0.09868421052631576,0.4556670654770822,0.024012158054711245,0.009256402344955283,65.53061224489795,4.848484848484849,61009,480,931,61579,99,507
gemini-2-5-pro,2018-08_Poster-Ersteinschaetzung_UT-1,4,../../notebooks/refs/2018-08_Poster-Ersteinschaetzung_UT-1 bf.pdf,../../notebooks/model-test-results/gemini-2-5-pro/2018-08_Poster-Ersteinschaetzung_UT-1.response-4.txt,rendered,True,0.028583121760874183,0.05443234836702955,0.34916912949107376,0.009809709525257766,0.004281602302710463,178.35230934479054,11.616161616161616,166046,1150,931,166760,99,1184
gemini-2-5-pro,2018-08_Poster-Ersteinschaetzung_UT-1,5,../../notebooks/refs/2018-08_Poster-Ersteinschaetzung_UT-1 bf.pdf,../../notebooks/model-test-results/gemini-2-5-pro/2018-08_Poster-Ersteinschaetzung_UT-1.response-5.txt,rendered,True,0.028583121760874183,0.05443234836702955,0.34916912949107376,0.009809709525257766,0.004281602302710463,178.35230934479054,11.616161616161616,166046,1150,931,166760,99,1184
llama3-3,2018-08_Poster-Ersteinschaetzung_UT-1,1,../../notebooks/refs/2018-08_Poster-Ersteinschaetzung_UT-1 bf.pdf,../../notebooks/model-test-results/llama3-3/2018-08_Poster-Ersteinschaetzung_UT-1.response.txt,rendered,True,0.01121062613395949,0.031152647975077885,0.04600460046004601,0.5436893203883495,0.22546816479400744,1.1106337271750806,2.1717171717171717,1034,215,931,1335,99,220
llama3-3,2018-08_Poster-Ersteinschaetzung_UT-1,2,../../notebooks/refs/2018-08_Poster-Ersteinschaetzung_UT-1 bf.pdf,../../notebooks/model-test-results/llama3-3/2018-08_Poster-Ersteinschaetzung_UT-1.response-2.txt,rendered,True,0.015723504063590948,0.03194888178913738,0.04514959202175885,0.5366912722535823,0.2223032069970845,1.146079484425349,2.090909090909091,1067,207,931,1372,99,212
llama3-3,2018-08_Poster-Ersteinschaetzung_UT-1,3,../../notebooks/refs/2018-08_Poster-Ersteinschaetzung_UT-1 bf.pdf,../../notebooks/model-test-results/llama3-3/2018-08_Poster-Ersteinschaetzung_UT-1.response-3.txt,rendered,True,0.009331474136413257,0.027397260273972605,0.048701298701298704,0.5032780563054378,0.22503008423586046,1.3834586466165413,2.6161616161616164,1288,259,931,1662,99,264
llama3-3,2018-08_Poster-Ersteinschaetzung_UT-1,4,../../notebooks/refs/2018-08_Poster-Ersteinschaetzung_UT-1 bf.pdf,../../notebooks/model-test-results/llama3-3/2018-08_Poster-Ersteinschaetzung_UT-1.response-4.txt,rendered,True,0.00880334332310207,0.024193548387096774,0.04451391754213349,0.40470193115029385,0.19492808478425439,2.284640171858217,3.9292929292929295,2127,389,931,2642,99,395
llama3-3,2018-08_Poster-Ersteinschaetzung_UT-1,5,../../notebooks/refs/2018-08_Poster-Ersteinschaetzung_UT-1 bf.pdf,../../notebooks/model-test-results/llama3-3/2018-08_Poster-Ersteinschaetzung_UT-1.response-5.txt,rendered,True,0.008468293451262814,0.030434782608695653,0.0505,0.4059633027522936,0.18967540086038326,2.225563909774436,3.5555555555555554,2072,352,931,2557,99,359
mistral,2018-08_Poster-Ersteinschaetzung_UT-1,1,../../notebooks/refs/2018-08_Poster-Ersteinschaetzung_UT-1 bf.pdf,../../notebooks/model-test-results/mistral/2018-08_Poster-Ersteinschaetzung_UT-1.response.txt,rendered,True,0.010407350655244738,0.037037037037037035,0.04821802935010482,0.5808897876643074,0.2082139446036294,0.8904403866809882,1.707070707070707,829,169,931,1047,99,169
mistral,2018-08_Poster-Ersteinschaetzung_UT-1,2,../../notebooks/refs/2018-08_Poster-Ersteinschaetzung_UT-1 bf.pdf,../../notebooks/model-test-results/mistral/2018-08_Poster-Ersteinschaetzung_UT-1.response-2.txt,rendered,True,0.02448204774020744,0.04098360655737705,0.056952503761014406,0.5845110231769362,0.21052631578947367,0.7894736842105263,1.4343434343434343,735,142,931,838,99,143
mistral,2018-08_Poster-Ersteinschaetzung_UT-1,3,../../notebooks/refs/2018-08_Poster-Ersteinschaetzung_UT-1 bf.pdf,../../notebooks/model-test-results/mistral/2018-08_Poster-Ersteinschaetzung_UT-1.response-3.txt,rendered,True,0.006407901872146573,0.03149606299212598,0.03641237309042604,0.48462664714494874,0.218212104386452,1.5123523093447906,2.7777777777777777,1408,275,931,1801,99,280
mistral,2018-08_Poster-Ersteinschaetzung_UT-1,4,../../notebooks/refs/2018-08_Poster-Ersteinschaetzung_UT-1 bf.pdf,../../notebooks/model-test-results/mistral/2018-08_Poster-Ersteinschaetzung_UT-1.response-4.txt,rendered,True,0.024787884811848553,0.05434782608695653,0.05247547342003195,0.47216196673897326,0.2158968850698174,0.7841031149301826,1.0,730,99,931,452,99,83
mistral,2018-08_Poster-Ersteinschaetzung_UT-1,5,../../notebooks/refs/2018-08_Poster-Ersteinschaetzung_UT-1 bf.pdf,../../notebooks/model-test-results/mistral/2018-08_Poster-Ersteinschaetzung_UT-1.response-5.txt,rendered,True,0.005441716224992223,0.03194888178913738,0.04633826936637454,0.5569160997732426,0.23312401883830458,1.0494092373791621,2.1313131313131315,977,211,931,1274,99,212
deepseek-r1-1-5b,2018-08_Poster-Ersteinschaetzung_UT-1,1,../../notebooks/refs/2018-08_Poster-Ersteinschaetzung_UT-1 bf.pdf,../../notebooks/model-test-results/deepseek-r1-1-5b/2018-08_Poster-Ersteinschaetzung_UT-1.response.txt,rendered,True,0.004947980380377385,0.019448946515397084,0.03408612912115806,0.36299538050085095,0.17661847894406035,2.8141783029001073,5.151515151515151,2620,510,931,3182,99,516
deepseek-r1-1-5b,2018-08_Poster-Ersteinschaetzung_UT-1,2,../../notebooks/refs/2018-08_Poster-Ersteinschaetzung_UT-1 bf.pdf,../../notebooks/model-test-results/deepseek-r1-1-5b/2018-08_Poster-Ersteinschaetzung_UT-1.response-2.txt,rendered,True,0.002548768433766367,0.019801980198019802,0.045218481375358166,0.3554015296367113,0.1709191515524131,2.8968850698174005,5.040404040404041,2697,499,931,3253,99,505
deepseek-r1-1-5b,2018-08_Poster-Ersteinschaetzung_UT-1,3,../../notebooks/refs/2018-08_Poster-Ersteinschaetzung_UT-1 bf.pdf,../../notebooks/model-test-results/deepseek-r1-1-5b/2018-08_Poster-Ersteinschaetzung_UT-1.response-3.txt,rendered,True,0.0021511116278585397,0.016556291390728478,0.03816579985652799,0.3465094775774387,0.1673048600883652,3.0365198711063375,5.040404040404041,2827,499,931,3395,99,503
deepseek-r1-1-5b,2018-08_Poster-Ersteinschaetzung_UT-1,4,../../notebooks/refs/2018-08_Poster-Ersteinschaetzung_UT-1 bf.pdf,../../notebooks/model-test-results/deepseek-r1-1-5b/2018-08_Poster-Ersteinschaetzung_UT-1.response-4.txt,rendered,True,0.0013635739156480523,0.007398273736128235,0.023264540337711075,0.3079062375844259,0.15086522057031437,3.742212674543502,7.121212121212121,3484,705,931,4103,99,708
deepseek-r1-1-5b,2018-08_Poster-Ersteinschaetzung_UT-1,5,../../notebooks/refs/2018-08_Poster-Ersteinschaetzung_UT-1 bf.pdf,../../notebooks/model-test-results/deepseek-r1-1-5b/2018-08_Poster-Ersteinschaetzung_UT-1.response-5.txt,rendered,True,0.0014668789407555637,0.007220216606498194,0.03282117520049353,0.27180107062683473,0.1323045267489712,4.529538131041891,7.353535353535354,4217,728,931,4860,99,730
